cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
5030,202002,0,14,0,0,0,0,0,0
5030,202003,15,112,0,0,0,13,0,15
5030,202004,38,569,3,5,0,20,5,53
5030,202005,121,834,6,5,0,72,10,174
5030,202006,569,2089,76,30,0,375,40,743
5030,202007,1179,1757,108,134,0,434,174,1922
5030,202008,2107,2594,176,152,252,519,326,4029
5030,202009,17,117,192,0,17,17,326,4046
5031,202002,0,1,0,0,0,0,0,0
5031,202003,0,5,0,0,0,0,0,0
5031,202004,1,22,0,1,0,0,1,1
5031,202005,2,9,0,1,0,1,2,3
5031,202006,9,14,0,4,0,5,6,12
5031,202007,42,31,0,1,0,14,7,54
5031,202008,34,12,5,2,8,22,9,88
5031,202009,1,3,7,0,1,1,9,89
5032,202001,0,1,0,0,0,0,0,0
5032,202002,0,1,0,0,0,0,0,0
5032,202003,0,10,0,0,0,0,0,0
5032,202004,3,32,0,0,0,0,0,3
5032,202005,8,33,0,0,0,7,0,11
5032,202006,195,231,6,8,0,115,8,206
5032,202007,336,129,16,16,0,123,24,542
5032,202008,268,164,13,9,42,74,33,810
5032,202009,0,1,22,0,0,0,33,810
5033,202003,0,20,0,0,0,0,0,0
5033,202004,3,42,0,0,0,2,0,3
5033,202005,101,93,3,8,0,53,8,104
5033,202006,333,160,26,14,0,150,22,437
5033,202007,374,228,46,29,0,102,51,811
5033,202008,113,344,10,15,12,19,66,924
5033,202009,0,14,29,0,0,0,66,924
5034,202005,0,2,0,0,0,0,0,0
5034,202007,1,2,0,0,0,0,0,1
5034,202008,2,38,2,1,0,1,1,3
5035,202001,0,3,0,0,0,0,0,0
5035,202002,1,2,0,0,0,1,0,1
5035,202003,8,103,0,0,0,4,0,9
5035,202004,47,414,2,5,0,20,5,56
5035,202005,457,1794,197,29,0,248,34,513
5035,202006,1623,2147,305,103,0,754,137,2136
5035,202007,1667,1292,282,126,0,537,263,3803
5035,202008,1197,1778,398,56,147,288,319,5000
5035,202009,59,99,95,0,45,45,319,5059
5036,202004,0,4,0,0,0,0,0,0
5036,202005,3,11,0,0,0,0,0,3
5036,202006,5,8,1,1,0,3,1,8
5036,202007,20,13,2,3,0,5,4,28
5036,202008,14,12,1,0,2,5,4,42
5037,202003,0,1,0,0,0,0,0,0
5037,202004,0,3,0,0,0,0,0,0
5037,202006,13,20,1,1,0,5,1,13
5037,202007,50,10,2,1,0,27,2,63
5037,202008,51,16,15,1,2,3,3,114
5038,202004,0,4,0,0,0,0,0,0
5038,202005,1,2,0,0,0,1,0,1
5038,202006,11,7,0,1,0,4,1,12
5038,202007,25,5,1,1,0,17,2,37
5038,202008,42,4,1,2,0,0,4,79
5999,202004,0,1,0,0,0,0,0,0
5999,202006,0,0,1,0,0,0,0,0
5999,202007,1,0,0,0,0,0,0,1
6001,202003,0,3,0,0,0,0,0,0
6001,202004,0,5,0,0,0,0,0,0
6001,202005,6,8,1,3,0,1,3,6
6001,202006,7,14,0,1,0,5,4,13
6001,202007,26,11,0,6,0,9,10,39
6001,202008,27,16,3,6,1,5,16,66
6001,202009,0,0,1,0,0,0,16,66
6002,202003,2,13,0,0,0,1,0,2
6002,202004,2,31,0,0,0,1,0,4
6002,202005,12,89,0,1,0,9,1,16
6002,202006,44,110,0,3,0,22,4,60
6002,202007,317,221,1,37,0,151,41,377
6002,202008,548,309,13,43,115,179,84,925
6002,202009,6,3,24,0,6,6,84,931
6003,202003,0,2,0,0,0,0,0,0
6003,202004,0,6,0,0,0,0,0,0
6003,202005,0,8,0,0,0,0,0,0
6003,202006,3,13,0,0,0,2,0,3
6003,202007,19,20,0,6,0,12,6,22
6003,202008,20,20,0,2,6,8,8,42
6003,202009,0,1,2,0,0,0,8,42
6004,202004,0,2,0,0,0,0,0,0
6004,202005,4,1,0,1,0,2,1,4
6004,202006,3,10,0,1,0,3,2,7
6004,202007,31,14,0,3,0,12,5,38
6004,202008,36,28,1,3,3,9,8,74
6005,202003,1,1,0,0,0,0,0,1
6005,202004,0,1,0,0,0,0,0,1
