cve_municipio,Municipio,cve_estado,Estado,CaptacionFeb20,CaptacionAgo20,CrecCaptacion2020,VarCaptacion2020,CarteraFeb20,CarteraAgo20,CrecCartera2020,VarCartera2020,poblacion,defuncionesAgo20,defuncionesTotales20,confirmadosAgo20,confirmadosTotales20,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
5004.0,ARTEAGA,5.0,COAHUILA,2.11,2.25,0.14000000000000012,6.635071090047395,71.52,74.23,2.710000000000008,3.789149888143184,25477.0,2.0,7.0,36.0,77.0,17.0,28.0,2.0,0.0,7.0,9.0,0.0,35.0,35.325980295953215,137.37881226204027,0.0
5005.0,CANDELA,5.0,COAHUILA,0.02,0.01,-0.01,-50.0,4.72,4.08,-0.6399999999999997,-13.559322033898303,1945.0,1.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,51.41388174807197,102.82776349614394,50000.0
5006.0,CASTAÑOS,5.0,COAHUILA,43.98,22.66,-21.319999999999997,-48.476580263756254,156.71,141.41,-15.300000000000011,-9.763256971475986,30568.0,5.0,13.0,104.0,192.0,46.0,18.0,6.0,1.0,8.0,22.0,5.0,99.0,71.97068830149176,323.8680973567129,5050.50505050505
5007.0,CUATRO CIENEGAS,5.0,COAHUILA,138.59,139.94,1.3499999999999943,0.9740962551410659,39.32,36.99,-2.3299999999999983,-5.925737538148523,14623.0,2.0,7.0,123.0,407.0,73.0,46.0,2.0,0.0,19.0,28.0,2.0,114.0,191.47917663954044,779.5937906038433,1754.3859649122805
5008.0,ESCOBEDO,5.0,COAHUILA,0.05,0.03,-0.020000000000000004,-40.0,3.07,2.41,-0.6599999999999997,-21.498371335504874,3353.0,0.0,1.0,6.0,9.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,59.64807634953773,178.94422904861318,0.0
5009.0,FRANCISCO I. MADERO,5.0,COAHUILA,383.49,302.71,-80.78000000000003,-21.064434535450737,190.24,156.93,-33.31,-17.50946173254836,64483.0,46.0,71.0,719.0,992.0,113.0,226.0,16.0,7.0,5.0,17.0,46.0,706.0,26.36353767659693,1094.8622117457314,6515.58073654391
5010.0,FRONTERA,5.0,COAHUILA,868.91,886.41,17.5,2.014017562233139,462.89,413.67,-49.21999999999997,-10.633195791656757,87942.0,28.0,68.0,486.0,894.0,170.0,71.0,11.0,5.0,40.0,74.0,29.0,471.0,84.14636919788042,535.5802688135362,6157.112526539278
5011.0,GENERAL CEPEDA,5.0,COAHUILA,0.08,0.11,0.03,37.5,21.27,17.16,-4.109999999999999,-19.322990126939345,13501.0,0.0,2.0,14.0,55.0,7.0,18.0,0.0,0.0,3.0,4.0,0.0,13.0,29.62743500481446,96.28916376564699,0.0
5012.0,GUERRERO,5.0,COAHUILA,0.02,0.03,0.009999999999999998,50.0,4.63,4.81,0.17999999999999972,3.88768898488121,1964.0,0.0,1.0,5.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,203.66598778004072,0.0
5013.0,HIDALGO,5.0,COAHUILA,0.02,0.02,0.0,0.0,2.85,3.28,0.4299999999999997,15.087719298245595,1888.0,0.0,0.0,3.0,6.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,158.89830508474577,158.89830508474577,0.0
5014.0,JIMENEZ,5.0,COAHUILA,3.81,3.86,0.04999999999999982,1.3123359580052396,13.66,10.71,-2.9499999999999993,-21.595900439238648,10994.0,5.0,7.0,30.0,32.0,22.0,0.0,1.0,0.0,0.0,0.0,2.0,30.0,0.0,272.87611424413313,6666.666666666667
5015.0,JUAREZ,5.0,COAHUILA,0.12,0.14,0.020000000000000018,16.666666666666675,4.1,3.63,-0.46999999999999975,-11.463414634146341,1722.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,116.14401858304298,50000.0
5016.0,LAMADRID,5.0,COAHUILA,0.07,0.08,0.009999999999999995,14.28571428571428,7.09,5.54,-1.5499999999999998,-21.861777150916783,1984.0,1.0,4.0,18.0,48.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,50.40322580645161,806.4516129032257,6250.0
5017.0,MATAMOROS,5.0,COAHUILA,514.06,582.03,67.97000000000003,13.222191962027786,319.49,268.08,-51.410000000000025,-16.0912704622993,119492.0,44.0,82.0,522.0,803.0,114.0,136.0,34.0,5.0,12.0,21.0,39.0,510.0,17.57439828607773,426.8068155190306,7647.058823529413
5018.0,MONCLOVA,5.0,COAHUILA,10896.29,11200.51,304.21999999999935,2.791959465102334,1786.71,1653.3,-133.41000000000008,-7.466796514263652,251346.0,145.0,362.0,2124.0,4321.0,1050.0,406.0,70.0,55.0,201.0,417.0,144.0,2036.0,165.90675801484807,810.0387513626634,7072.691552062868
5019.0,MORELOS,5.0,COAHUILA,92.34,95.63,3.289999999999992,3.562919644790985,38.16,34.53,-3.6299999999999955,-9.512578616352185,9430.0,2.0,5.0,46.0,73.0,14.0,16.0,11.0,1.0,1.0,3.0,2.0,45.0,31.81336161187699,477.20042417815483,4444.444444444444
5020.0,MUZQUIZ,5.0,COAHUILA,1185.91,1219.68,33.76999999999998,2.847602263240878,303.02,263.52,-39.5,-13.035443205068976,75647.0,43.0,71.0,593.0,967.0,237.0,194.0,10.0,11.0,51.0,78.0,39.0,584.0,103.11050008592541,772.0068211561595,6678.0821917808225
5021.0,NADADORES,5.0,COAHUILA,0.09,0.08,-0.009999999999999995,-11.111111111111105,32.11,30.88,-1.2300000000000004,-3.830582373092495,7152.0,2.0,5.0,33.0,79.0,18.0,8.0,1.0,0.0,0.0,4.0,2.0,32.0,55.92841163310962,447.42729306487695,6250.0
5022.0,NAVA,5.0,COAHUILA,8.84,10.35,1.5099999999999998,17.081447963800912,178.72,165.92,-12.800000000000011,-7.1620411817368,33101.0,13.0,21.0,176.0,364.0,69.0,30.0,26.0,6.0,6.0,18.0,13.0,169.0,54.379021781819276,510.55859339596987,7692.307692307692
5023.0,OCAMPO,5.0,COAHUILA,0.06,0.04,-0.019999999999999997,-33.33333333333333,23.15,17.93,-5.219999999999999,-22.548596112311014,11628.0,0.0,3.0,46.0,69.0,12.0,13.0,1.0,0.0,1.0,2.0,0.0,45.0,17.19986240110079,386.9969040247678,0.0
5024.0,PARRAS,5.0,COAHUILA,578.28,600.49,22.210000000000036,3.840700006917075,172.5,167.63,-4.8700000000000045,-2.8231884057971057,48694.0,9.0,24.0,271.0,520.0,101.0,306.0,1.0,3.0,17.0,32.0,8.0,264.0,65.71651538177188,542.161251899618,3030.3030303030305
5025.0,PIEDRAS NEGRAS,5.0,COAHUILA,5615.65,5924.98,309.3299999999999,5.508356111937185,1088.23,946.76,-141.47000000000003,-13.000009189233896,177255.0,135.0,197.0,3104.0,4069.0,1057.0,337.0,263.0,45.0,49.0,121.0,116.0,3029.0,68.26323658006827,1708.8375504217088,3829.646748101684
5026.0,PROGRESO,5.0,COAHUILA,0.08,0.07,-0.009999999999999995,-12.49999999999999,6.89,6.54,-0.34999999999999964,-5.079825834542806,3654.0,0.0,0.0,11.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,301.03995621237,0.0
5027.0,RAMOS ARIZPE,5.0,COAHUILA,3626.28,3645.57,19.289999999999964,0.5319500976207037,541.42,496.28,-45.139999999999986,-8.337335155701675,103252.0,16.0,42.0,121.0,256.0,46.0,50.0,11.0,6.0,6.0,10.0,15.0,117.0,9.685042420485802,113.31499631968389,12820.512820512819
5028.0,SABINAS,5.0,COAHUILA,2265.99,2250.78,-15.209999999999582,-0.6712297936001255,412.11,344.27,-67.84000000000003,-16.46162432360293,69500.0,52.0,63.0,875.0,1278.0,209.0,202.0,15.0,13.0,36.0,63.0,47.0,851.0,90.64748201438849,1224.460431654676,5522.914218566392
5029.0,SACRAMENTO,5.0,COAHUILA,0.07,0.1,0.03,42.85714285714286,10.14,9.41,-0.7300000000000004,-7.199211045364895,2614.0,2.0,5.0,67.0,123.0,27.0,11.0,0.0,0.0,4.0,11.0,2.0,67.0,420.81101759755165,2563.121652639633,2985.0746268656717
5030.0,SALTILLO,5.0,COAHUILA,45874.99,48894.58,3019.590000000004,6.582213968874995,5335.81,4966.97,-368.84000000000015,-6.912539989242495,869184.0,346.0,778.0,4120.0,8000.0,2107.0,2594.0,176.0,152.0,252.0,519.0,326.0,4029.0,59.71117738016346,463.53821515352325,8091.337800943162
5031.0,SAN BUENAVENTURA,5.0,COAHUILA,500.68,530.48,29.80000000000001,5.9519054086442535,152.2,147.74,-4.4599999999999795,-2.9303547963206222,25820.0,10.0,20.0,103.0,209.0,34.0,12.0,5.0,2.0,8.0,22.0,9.0,88.0,85.20526723470178,340.8210689388071,10227.272727272728
5032.0,SAN JUAN DE SABINAS,5.0,COAHUILA,1238.35,1328.93,90.58000000000015,7.314571809262338,271.09,239.44,-31.649999999999977,-11.67508945368696,47315.0,37.0,60.0,822.0,1142.0,268.0,164.0,13.0,9.0,42.0,74.0,33.0,810.0,156.39860509352215,1711.9306773750397,4074.0740740740744
5033.0,SAN PEDRO,5.0,COAHUILA,992.36,1006.79,14.42999999999995,1.454109395783787,300.08,275.79,-24.289999999999964,-8.094508131165012,117370.0,66.0,92.0,936.0,1222.0,113.0,344.0,10.0,15.0,12.0,19.0,66.0,924.0,16.188123029735024,787.2539831302718,7142.857142857142
5034.0,SIERRA MOJADA,5.0,COAHUILA,81.56,111.87,30.310000000000002,37.16282491417362,35.31,32.82,-2.490000000000002,-7.05182667799491,7740.0,2.0,3.0,4.0,14.0,2.0,38.0,2.0,1.0,0.0,1.0,1.0,3.0,12.919896640826872,38.75968992248062,33333.33333333333
5035.0,TORREON,5.0,COAHUILA,35418.65,37495.31,2076.659999999996,5.863182250029286,4080.93,3840.73,-240.19999999999982,-5.885913259967701,744247.0,339.0,740.0,5095.0,9314.0,1197.0,1778.0,398.0,56.0,147.0,288.0,319.0,5000.0,38.696830487727865,671.8199737452754,6380.0
5036.0,VIESCA,5.0,COAHUILA,0.2,0.2,0.0,0.0,26.41,24.56,-1.8500000000000014,-7.004922377887168,23781.0,4.0,7.0,42.0,51.0,14.0,12.0,1.0,0.0,2.0,5.0,4.0,42.0,21.02518817543417,176.61158067364704,9523.809523809523
